Circle,SSA,Hotspot Name,Location Name,,,Daily Requests
KERALA,THIRUVANANTHAPURAM,SZKLTVMHELCOPM,Health Circle Office  Palayam.,Office,,46
KERALA,THIRUVANANTHAPURAM,SZKLTVMHELCOSM,Health Circle Office  Sreekanteswaram,Office,,
KERALA,THIRUVANANTHAPURAM,SZKLTVMKZKTMZO,Kazhakkuttam zonal office.,Office,,20
KERALA,THIRUVANANTHAPURAM,SZKLTVMMLRRGIT,Rajiv Gandhi Institute,Institute,,
KERALA,THIRUVANANTHAPURAM,SZKLTVMNDMGDBT,Nedumangad Revenue Tower,Office,,78
KERALA,THIRUVANANTHAPURAM,SZKLTVMPAROMBT,Pattom BTS THIRUVANANTHAPURAM  .,,,258
KERALA,THIRUVANANTHAPURAM,SZKLTVMPBCOFBT,Public Office BTS THIRUVANANTHAPURAM.,Office,,160
KERALA,THIRUVANANTHAPURAM,SZKLTVMSTYLPBT,Style Plus BTS.,Showroom,,137
KERALA,THIRUVANANTHAPURAM,SZKLTVMTMCMUSM,TMC Main office at Museum Jn Vikasbhavan.,Office,,245
KERALA,THIRUVANANTHAPURAM,SZKLTVMUTMRHOC,Uttarayanam rest house of Corporation Trivandrum  .,Government Guest House,,97
KERALA,THIRUVANANTHAPURAM,SZKLTVMVKSBHBT,Vikas Bhavan BTS THIRUVANANTHAPURAM.,Municipality,,10
KERALA,THIRUVANANTHAPURAM,SZKLTVMVYRKVZO,Vattiyoorkavu zonal office.,Office,,41
KERALA,THIRUVANANTHAPURAM,SZKLTVMZNLOFTM,Health circle office sasthamangalam,Office,,39
KARNATAKA,BANGALORE,SZKTBGL1MGMALL,1 MG mall  Bangalore,Mall,,20
KARNATAKA,BANGALORE,SZKTBGLANJNRCS,ANJANANAGAR CSC.,BSNL Customer Service Center,,25
KARNATAKA,BANGALORE,SZKTBGLBNGESCS,BANGALORE EAST CSC.,BSNL Customer Service Center,,116
KARNATAKA,BANGALORE,SZKTBGLBROKEXG,BrookeField_Tel_Exg.,Telephone exchange,,262
KARNATAKA,BANGALORE,SZKTBGLBSNLJPN,BSNL JP Nagar Telephone exchange.,Telephone exchange,,107
KARNATAKA,BANGALORE,SZKTBGLBSNLKGR,KENGERI Telephone Exchange,Telephone exchange,,143
KARNATAKA,BANGALORE,SZKTBGLBSWDEXG,Banaswadi Telephone Exchange,Telephone exchange,,48
KARNATAKA,BANGALORE,SZKTBGLBSWSEXG,Basaweshwara Nagar RSU.,Municipality,Locality,20
KARNATAKA,BANGALORE,SZKTBGLCGMBLDG,CGMT  KTK Circle  Halasuru,Municipality,,172
KARNATAKA,BANGALORE,SZKTBGLCHNDRCS,CHANDRA LAYOUT,Municipality,Locality,13
