avvio_l630_2015_november,215,,avvio,avvio l630,,2015 november,,Avvio L630
axis_rd60_2012_october,216,,axis,axis rd60,,2012 october,,Axis Rd60
azumi_a45s_2014_february,217,,azumi,azumi a45s,,2014 february,,Azumi A45S
azumi_lt50__2015_march,218,,azumi,azumi lt50 ,,2015 march,,Azumi Lt50 
be_aw880_2013_november,219,,be,be aw880,,2013 november,,Be Aw880
beeline_fast_2015_march,220,,beeline,beeline fast,,2015 march,,Beeline Fast
bgh_joy_smart_axs_ii_2015_january,221,,bgh,bgh joy smart axs ii,,2015 january,,Bgh Joy Smart Axs Ii
blackberry_kbd_2013_january,222,,blackberry,blackberry kbd,,2013 january,,Blackberry Kbd
blackberry_stv100_1_2015_november,223,,blackberry,blackberry stv100 1,,2015 november,,Blackberry Stv100 1
blackberry_stv100_3_2015_november,224,,blackberry,blackberry stv100 3,,2015 november,,Blackberry Stv100 3
blackberry_stv100_4_2015_november,225,,blackberry,blackberry stv100 4,,2015 november,,Blackberry Stv100 4
blackberry_z10_2012_october,226,,blackberry,blackberry z10,,2012 october,,Blackberry Z10
blackberry_z10_2013_january,227,,blackberry,blackberry z10,,2013 january,,Blackberry Z10
blackberry_z30_2013_november,228,,blackberry,blackberry z30,,2013 november,,Blackberry Z30
blackview_full_hct6735m_35gu_l_2015_march,229,,blackview,blackview full hct6735m 35gu l,,2015 march,,Blackview Full Hct6735M 35Gu L
blackview_jk890_2014_july,230,,blackview,blackview jk890,,2014 july,,Blackview Jk890
blackview_zeta_2015_june,231,,blackview,blackview zeta,,2015 june,,Blackview Zeta
bloom_globe_4.0_2014_september,232,,bloom,bloom globe 4.0,,2014 september,,Bloom Globe 4.0
blu__2013_march,233,,blu,blu ,,2013 march,,Blu 
blu__2014_april,234,,blu,blu ,,2014 april,,Blu 
blu__2014_august,235,,blu,blu ,,2014 august,,Blu 
blu_5.0_c_2014_august,236,,blu,blu 5.0 c,,2014 august,,Blu 5.0 C
blu_5.5_2014_july,237,,blu,blu 5.5,,2014 july,,Blu 5.5
